,Target,Weight,Count,User Weight,User Score,Score Diff,Score Diff z-score
1957,Tears to Tiara,0.017857142857142853,1,0.035714285714285705,7.0,-0.641,-0.8177736211966055
1958,Teekyuu,0.012773722627737228,1,0.06386861313868614,10.0,2.159,1.5724364229251677
1959,Tegamibachi,0.18961229311571104,4,0.9395559977778263,9.75,1.0114999999999998,0.5928771280574053
1960,Tegamibachi Reverse,0.052341364099083805,2,0.26170682049541905,10.0,1.0890000000000004,0.6590347274929191
1961,Tejina-senpai,0.01754385964912281,1,0.08771929824561404,10.0,1.859,1.3163424896264064
1962,Tekken,0.6014492753623188,2,3.0072463768115942,10.0,2.4139999999999997,1.7901162662291148
1963,Tekkon Kinkreet,0.4866361999723029,2,2.4331809998615146,10.0,1.4239999999999995,0.9450062863432019
1964,Tengen Toppa Gurren Lagann,2.28464902623621,19,6.800519163364929,8.263157894736842,0.1047894736842121,-0.18113308876792875
1965,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,0.014675052410901465,1,0.07337526205450733,10.0,1.4489999999999998,0.9663474474514323
1966,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,0.14915216421240518,2,0.680946006247211,9.5,1.1989999999999998,0.7529358363691312
1967,Tenjou Tenge,0.021406727828746176,1,0.06422018348623854,8.0,0.12899999999999956,-0.16046585906311814
1968,Tenki no Ko,1.4074371947560942,5,7.008019307113804,9.8,1.013,0.5941575977238992
1969,Tenkuu Danzai Skelter+Heaven,0.026615969581749048,1,0.13307984790874525,10.0,1.6790000000000003,1.1626861296471498
1970,Tenkuu Shinpan,0.24345122575287972,3,0.6075466597147795,7.666666666666667,-0.0043333333333333,-0.2742853849736784
1971,Tenkuu no Escaflowne,0.10508739076154805,2,0.4939762796504369,8.0,0.5540000000000003,0.2023338797767945
1972,Tenkuu no Shiro Laputa,0.30144240570846076,3,1.5072120285423036,10.0,1.9123333333333346,1.3618702999906318
1973,Tennis no Ouji-sama,0.4338792902241842,4,1.6158883666464119,8.5,0.24649999999999928,-0.06016240185443681
1974,Tensei shitara Slime Datta Ken,2.3575505398694756,10,6.773428152383222,8.2,0.0019999999999988916,-0.26887895749292773
1975,Tensei shitara Slime Datta Ken 2nd Season,0.8925879396984925,2,2.6777638190954773,8.0,0.058999999999999275,-0.2202211101661627
1976,Tenshi no 3P!,0.012773722627737228,1,0.06386861313868614,10.0,2.159,1.5724364229251677
1977,Tenshi no Drop,0.00850546780072904,1,0.03402187120291616,9.0,0.49900000000000055,0.15538332533868848
1978,Tenshi no Tamago,0.3591062602755763,3,1.7955313013778813,10.0,1.8323333333333327,1.2935785844442937
1979,Tentai Senshi Sunred,0.07337526205450734,1,0.3668763102725367,10.0,1.4489999999999998,0.9663474474514323
1980,Terra Formars,0.8328399807984795,5,-0.21202886675433363,7.4,-0.6470000000000002,-0.8228954998625808
1981,Terra Formars: Bugs 2-hen,0.02551640340218712,1,0.10206561360874848,9.0,0.49900000000000055,0.15538332533868848
1982,Terra e... (TV),0.07070273364820381,2,0.09031057678545872,6.5,-1.4260000000000002,-1.4878860799950313
1983,Tetsujin 28-gou (2004),0.06666666666666667,1,0.2,8.0,-0.511000000000001,-0.7067995834338097
1984,Tetsuwan Birdy,0.0196078431372549,1,0.0392156862745098,7.0,-1.3810000000000002,-1.4494719900002173
1985,Tetsuwan Birdy Decode,0.036234921522053,2,0.1223510781985003,8.5,-0.2809999999999988,-0.5104609012380907
1986,Tetsuwan Birdy Decode:02,0.010886469673405912,1,0.05443234836702956,10.0,0.8889999999999993,0.4883054386270773
1987,Texhnolyze,0.3290749599571985,7,1.379561717735865,8.714285714285714,0.3061428571428557,-0.009248488924802692
1988,The Animatrix,0.09561660532093504,3,0.4320390191140385,8.0,-0.07766666666666744,-0.3368861242244874
1989,The Big O,0.28955917549073446,3,1.1643305939883888,9.0,0.8990000000000009,0.4968419030703707
1990,The God of High School,0.9033919385793231,12,1.0804556789703448,7.166666666666667,-0.8584999999999985,-1.0034417228382062
1991,The Reflection,0.02611940298507463,1,0.05223880597014926,7.0,-0.7610000000000001,-0.9202111945161102
1992,The Sky Crawlers,0.023255813953488375,1,0.11627906976744187,10.0,1.6690000000000005,1.1541496652038579
